file_name,label
Experiment_2024-09-17_17-26-04_532_palm_release.hdf5,palm_release
Experiment_2024-09-17_16-56-10_560_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_16-56-23_348_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-26-02_375_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-01-35_498_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-23-34_243_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-04-14_491_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-05-51_650_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-03-37_669_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-30-00_143_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-04-57_050_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-23-30_070_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-30-08_280_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-04-51_913_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-26-17_933_palm_release.hdf5,palm_release
Experiment_2024-09-17_16-58-13_506_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-20-34_734_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-04-44_413_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-26-24_470_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-05-37_305_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-24-31_835_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-29-43_755_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-24-55_416_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-23-28_008_palm_release.hdf5,palm_release
Experiment_2024-09-17_16-58-18_238_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-29-07_912_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-03-03_837_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-29-16_271_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-01-54_955_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-29-21_755_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-20-38_532_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-04-02_540_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-24-57_478_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-24-53_412_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-24-01_116_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-02-41_772_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-20-32_751_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-03-21_363_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-26-26_861_palm_release.hdf5,palm_release
Experiment_2024-09-17_16-56-34_903_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-22-22_734_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-22-48_907_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-03-08_421_palm_grab.hdf5,palm_grab
