file_name,label
Experiment_2024-09-17_15-51-36_437_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-43-13_543_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_17-26-04_532_palm_release.hdf5,palm_release
Experiment_2024-09-17_15-52-14_753_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-35-02_112_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-55-57_777_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_16-56-10_560_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_15-43-33_247_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_16-56-23_348_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_15-35-16_457_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-44-39_197_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_17-26-02_375_palm_release.hdf5,palm_release
Experiment_2024-09-17_15-57-23_468_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_17-01-35_498_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-23-34_243_palm_release.hdf5,palm_release
Experiment_2024-09-17_15-36-25_356_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-59-10_882_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-44-31_157_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_17-04-14_491_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-05-51_650_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-03-37_669_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_12-12-19_157_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_12-11-56_583_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_15-58-55_043_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_12-04-33_309_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_12-08-40_724_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_15-59-23_054_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_12-16-13_173_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_17-30-00_143_palm_release.hdf5,palm_release
Experiment_2024-09-17_15-48-52_905_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_15-48-57_640_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_12-18-26_929_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-36-16_016_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-56-11_477_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_12-17-31_249_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_16-00-10_994_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-57-39_320_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-42-30_211_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_15-55-21_368_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_12-16-10_854_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-56-15_874_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-47-57_333_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_15-46-11_877_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_12-19-24_312_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_12-16-25_360_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_17-04-57_050_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_12-08-15_275_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_17-23-30_070_palm_release.hdf5,palm_release
Experiment_2024-09-17_17-30-08_280_palm_release.hdf5,palm_release
Experiment_2024-09-17_15-52-33_003_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_12-18-31_811_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-35-57_413_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_15-35-53_053_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_12-11-40_151_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_12-14-15_432_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_17-04-51_913_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_12-13-41_738_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_17-26-17_933_palm_release.hdf5,palm_release
Experiment_2024-09-17_12-03-36_743_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_16-58-13_506_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_15-47-28_639_swipe_up.hdf5,swipe_up
Experiment_2024-09-17_15-55-08_169_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_15-55-34_136_swipe_down.hdf5,swipe_down
Experiment_2024-09-17_17-20-34_734_palm_release.hdf5,palm_release
Experiment_2024-09-17_12-12-09_883_swipe_left.hdf5,swipe_left
Experiment_2024-09-17_15-36-18_300_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_12-19-07_419_swipe_right.hdf5,swipe_right
Experiment_2024-09-17_17-04-44_413_palm_grab.hdf5,palm_grab
Experiment_2024-09-17_17-26-24_470_palm_release.hdf5,palm_release
Experiment_2024-10-08_16-14-50_127_swipe_up.hdf5,swipe_up
Experiment_2024-10-08_16-14-52_797_swipe_up.hdf5,swipe_up
Experiment_2024-10-08_16-14-55_499_swipe_up.hdf5,swipe_up
Experiment_2024-10-08_16-14-58_159_swipe_up.hdf5,swipe_up
Experiment_2024-10-08_16-15-01_054_swipe_up.hdf5,swipe_up
